dimeionsion-0	rich,0.98632953	docker,0.98667212	xtremio,0.98697527	want,0.98697661	deploi,0.98933633	vxrail,0.99327983	map,0.99492311	idea,0.99579239	expans,0.99591417	sector,0.99619978	recognit,0.99669266	mission,0.99670664	prior,0.99721713	see,0.99762322	modular,0.99765305	hide,0.99783559	confirm,0.99796402	atmo,0.99829135	acceler,0.99848843	emailxtend,0.99853854
dimeionsion-1	util,0.9828453	lost,0.98304137	often,0.98329243	prove,0.98348567	due,0.98349061	produc,0.98364497	exce,0.9839771	script,0.98418628	mani,0.98435956	connect,0.98440191	current,0.98539476	snowballlarg,0.98551966	inventori,0.98761654	can,0.98817804	operationservic,0.98858582	computingrun,0.98858582	genom,0.99020435	usag,0.99031855	sharepoint,0.99132567	waf,0.99206438
dimeionsion-2	manufactur,0.99462434	vulner,0.99486122	alreadi,0.99503697	devil,0.99526272	enhanc,0.99565892	govern,0.99577255	dure,0.99579655	charg,0.99584848	number,0.99614494	technic,0.99622895	guid,0.99636491	rang,0.99656846	now,0.99687781	drive,0.99699867	bug,0.99711069	few,0.99711713	attun,0.99712331	ncbi,0.99716153	transcodereasi,0.99716153	glacierlow,0.99716153
dimeionsion-3	off,0.98439182	round,0.98463743	avail,0.98497834	longer,0.98525921	result,0.98545945	simpli,0.9882006	http,0.98853035	leverag,0.98879946	base,0.98937337	fee,0.9903944	redshiftfast,0.99121979	real,0.99139719	addit,0.99167232	servicemigr,0.99184381	tablet,0.99215528	bill,0.99266937	linkedin,0.99406916	featur,0.99496469	click,0.99511105	activ,0.997338
dimeionsion-4	bank,0.97691821	those,0.97715705	password,0.97832441	march,0.97942905	browser,0.9795099	receiv,0.97955952	whitepap,0.98224374	demo,0.98245254	fulli,0.98330375	integr,0.98575486	deliv,0.98604961	two,0.99083219	welcom,0.99171326	appsync,0.99260793	partnercommun,0.99308587	anemc,0.99308587	inclus,0.99311467	workplac,0.99315796	greater,0.99424108	specif,0.9970976
dimeionsion-5	respect,0.99604231	truck,0.9960896	fix,0.99614382	short,0.99615549	heavi,0.99616232	flight,0.99617221	dream,0.99618331	rebel,0.9961836	daili,0.99635064	mileston,0.99635453	east,0.9965925	corpor,0.99675403	datacent,0.99694486	row,0.99701713	charact,0.99712136	method,0.9971737	firewal,0.99718209	automat,0.99758313	back,0.99779505	saprun,0.99797173
dimeionsion-6	particular,0.98675997	compani,0.98768644	seamless,0.98773554	librari,0.98781723	dai,0.98923625	credenti,0.99197344	announc,0.9927921	inc,0.99341152	advanc,0.99422528	driver,0.9966948	pipelineorchestr,0.99677422	appsrun,0.99689972	nvidia,0.9969138	snowbal,0.99692037	nginx,0.99695994	group,0.99698349	month,0.99720058	calcul,0.99740327	calendar,0.99756126	downtim,0.99850106
dimeionsion-7	step,0.96173329	magazin,0.96266784	consum,0.96923587	complianc,0.96952702	autom,0.97549044	studi,0.97595735	like,0.97613842	visit,0.97800882	cognitous,0.97893062	experiment,0.98112677	creation,0.98160208	orbx,0.98247631	configtrack,0.98247631	idb,0.98247631	cloudhsmhardwar,0.98247631	hana,0.98550015	opportun,0.98774559	energi,0.98884794	extend,0.99137117	easi,0.99201621
dimeionsion-8	experienc,0.98735384	loss,0.98779194	respond,0.98794224	past,0.98813768	disrupt,0.98843988	gain,0.98875254	alert,0.9890307	recent,0.98971083	period,0.99004405	asia,0.99021463	made,0.99030614	describ,0.99035193	write,0.99120181	purpos,0.99155527	skill,0.99162261	australia,0.99174006	nativ,0.99212826	less,0.99361515	million,0.99588282	provis,0.99590973
dimeionsion-9	assess,0.99359257	china,0.99364538	quadrant,0.99367014	becaus,0.99380571	logic,0.99438118	interact,0.99466275	right,0.99477878	harlei,0.99526909	properti,0.995417	iot,0.99578603	type,0.99644645	wam,0.99716731	redmin,0.99722803	articl,0.99743536	patient,0.99744981	simpl,0.99776597	catalogcr,0.99817331	codedeployautom,0.99817331	cloudsearchmanag,0.99817331	workspacesvirtu,0.99817331
dimeionsion-10	colleg,0.99351574	permiss,0.9948824	demonstr,0.99488591	dentist,0.99489718	depend,0.99490607	around,0.99500647	patch,0.99553614	cpu,0.99574186	term,0.99574736	agenc,0.99594025	elasticachein,0.99597264	agil,0.99619074	keep,0.99629864	directli,0.99639687	same,0.99647306	framework,0.99664924	maintain,0.9972124	templat,0.99732039	low,0.99788089	minut,0.99833553
